,title,content,complete_tags,words_in_tags
18,missing obvious way change lightbulb,thought able lift plastic shade angle trim lift slides side-to-side bit flanges large keep trim trim attached rounded ends seem slide unclip way long sides trim bend bit pull want see anyone obvious suggestions missing try prying trim ceiling lot things house seem done cheapest way possible noticed potential buyer guessing bulb changed reinstalling trim fixture,electrical light-fixture bulb,light fixture electrical bulb
19,shop-vac adequate discarding greenish water top pool cover,pool winter cover water hoping clean water top cover dirty kind pump use discarding water opening pool seen wet/dry shop vac type pumps local stores adequate fail leaves enter water nice pump double garage sweeper pour water vacuum water dirt garage floor nice shop-vac fit bill option use winterizing pump get gather courage winterize winterizing pool strong pump needed clear water pipes assuming pump see double-use vacuum spring-time dirty water sure using pump polluted water make contaminate pool winterizing,pool pump,pump pool
20,need hammer drill install brackets drapes brick wall,want put brackets drapes masonry bit using simple possible cheap cordless drill seem penetrate brick need hammer drill job,walls brick drill,walls brick drill
21,toilet paper clogging toilet,old toilet house time toilet paper flushed clogs little lot toilet paper anything else toilet paper result getting bin toilet plumber look said understand kitchen fitter anything rodded toilet numerous occasions someone comes visit forgets roll loo rule advice grateful,plumbing bathroom toilet,plumbing toilet bathroom
22,white stuff coming wall dry,painted wall times first dark blue white powdery stuff spreading paint dried painted purple white stuff dried picture took left side dry right side sprayed water look white stuff keeps coming dried pictures,concrete walls paint staining,concrete walls staining paint
23,sump sealed radon remediation drain water water drainage,yesterday gallon water heater years old ruptured flooding basement situated right next water heater sump ounce job sealed radon remediation suggestions achieve water drainage sump radon remediation,sump-pump radon,pump radon sump
24,causing way switch malfunction,moved problem kitchen way switch opened box feel comfortable working volt meter problem switch turns light turn switch become switch turns light results toggles light course side turns light winds toggle put way switch familiar common terminal traveler terminals attacked wanted see folks think,electrical wiring switch troubleshooting,wiring switch electrical troubleshooting
25,install honeywell linevolt pro multiple thermostat situation,roommate moved installed honeywell linevolt pro room several months replacing m602 brand name find seems worked fine working electrical connection electrical bill normal assume nothing shorted anything installed model wiring setup room mine appears work turns odd done anything thermostats apartment hall seems standard wire model black rooms black wires coming holes thermostat leftmost hole wires roommate says rooms bridged know means got l1 l2 wires honeywells hooked wires left middle holes load wires hooked rightmost ones record initial setup assumed use reference hallway red wires hooked right hole black ones middle hole right way hook blowing fuse give hire electrician update thermostat controls separate heating unit baseboard heat diagram hall setup changed moving 6-wire setup unlabeled wires black,thermostat,thermostat
26,improve hvac air flow attic,years converted attic story house livable space hvac ducts going ran coming basement furnace air flow attic ducts low say least times weaker first floor air flow bad winter computers projector emit heat radiant heat coming first floor new central air system installed months flow bad forced put old window unit bums installed duct fans attic try improve air flow improved things make difference anything,hvac air-conditioning central-heating,heating central conditioning hvac air
27,underlayment use reduce traffic noise hardwood bamboo floor,process renovating story new england story cape-style home new osb subfloors liquid nails deck screws weeks flooring much experience wood flooring sure best option reducing traffic noise upstairs rooms concerned moisture moisture content osb house forced hot air heating use felt cushion underlayment designed floating floors nail application solid hardwood rosin paper act way barrier,flooring hardwood noise-reduction underlayment,hardwood reduction noise underlayment flooring
28,new high efficiency furnace blowing cold air,new furnace high efficient payne furnace blow cold air least different times day thermastat set auto weather cold outside blow cold air thru house turn option need buy new thermastat switch fan on/auto switch,furnace,furnace
29,sewer pipe toilet rough-in full cement,problem mind boggling bought house getting ready put toilet basement cement slab took rough-in expecting sewer smell surprise got drain full poured cement yes drain anyone fill drain cement boggling mind,bathroom toilet drain,toilet bathroom drain
30,hvac leaking cold air unit seal tape,crawlspace today noticed cold air leaking grouping round openings unit pictured middle photo outer holes rubber gaskets able adjust order stem flow air large black pipe middle gasket home cooling moment wondering problem hvac repair person come look can/should seal hvac tape advice appreciated thanks,hvac leak,leak hvac
31,seal transition basement wall framing spray-foamed box joists,looking insulating box joists concrete foundation walls framed holding batt insulation wall accommodate layer batt insulation framing existed moved-in starting scratch framed right wall spray-foamed whole thing alas plan closed-cell spray foam sure go sealing transition wall framing foam going loop vapour barrier top framing insulation gap left spraying vapour-impermeable read foam stick polyethylene sheeting no-go spray little bit bottom header area hope foam expands reach seal-to top plate framing wall add blocking top wall anyone experience specific setup front-view box joist area frost spray-foaming top-view framing wall gap,insulation joists spraying,insulation spraying joists
32,additional sealing operation required grouting bath shower,re-grouting bath shower additional sealing operation using sealant applying un-sanded grout,bathroom shower waterproofing sealing grout,shower grout bathroom sealing waterproofing
33,wiring extension cord volt generator,volt gas generator prong twist lock receptacle.this generator used basic power house occasional power outages outlet goes house prong volt dryer outlet making cord go generator house green white nutral wire wired green wire clipped house wired way professional electrican house built years way circuit breaker box wired turn main breaker coming breaker box switch breaker allow feed generator breaker box prevents feed onto main incoming power line way dryer receptacle wired red wires leg black wires leg ground center leg feed breaker box exposed prongs cord plugged setup worked fine power cord using went missing making new,generator,generator
34,adding push button chamberlain opener,added doorbell push button installed chamberlain garage door opener ... linked button wires contacts incoming control pad inputs red white work wired incorrect,wiring garage-door-opener,door garage opener wiring
35,renovating interior stone basement walls,year old house like finish basement leave stone walls exposed believe stone look great mortar needs work focused keeping airflow prevent moisture problems aware important manage moisture foundation comes ok somehow stone create unwanted moisture barrier general best way renovate stone make look good causing issues,basement foundation,foundation basement
36,foil tape failure hvac unit,recent trip attic found air conditioner blowing cold air attic several places ac unit foil tape become unsealed interest cooling room plan re-taping following concerns tape failure indicate possible failure/fault system investigated surface preparation need make sure tape stays stuck long-term,hvac taping,hvac taping
37,cold water shower,sure asked got strange issue shower sounds weird wanting take cold showers cut much hot water take shower others enjoy showers honesly mind cold showers problem shower default hot water turn shower starts cold start getting warmer hot pretty sure imagination tried leaving touching water course turning enough get halfway mark hot know information kind shower let know advanced person comes kinds things try best specify thanks advance,bathroom water shower water-heater hot-water,water shower bathroom hot heater
38,concrete slopes drain,outside house concrete slopes drain causing water pool corner ideas fix,outdoor,outdoor
39,cheapest way add texture wall,previous home owners used perforating tool remove wallpaper painted holes lines desperate need texture budget need put new baby room want buy hopper cans texture way expensive think steady hand skip trowel inexpensive way texture walls,drywall texture,drywall texture
40,use ceramic glaze waterproof earthen tank,rammed-earth architect idea building rammed-earth water tanks coated ceramic glaze alternative cement concrete tanks remote areas nepal transporting cement unsound experiment see cost effectiveness idea like know type glaze use coat tank fire recommended low-temperature glaze fired cheaply instance thinking filling tank saw-dust feeding oxygen air ventilation pipe temperature soar speculating seems valid idea suggestions regarding glazing,waterproofing water-tank,water tank waterproofing
41,garage fire wall,process selling home home inspector said follow fire rating compromised due missing drywall access opening area front entry wood present house split-level home crawlspace opening garage plywood need drywall plywood resolve access crawlspace garage remove opening make wall,drywall garage,garage drywall
42,window leaks hole bottom frame,see video bad window leak water comes rainy days makes way story window first floor window wall painful cluelessness lead cause today rained got heavy dripping coming hole bottom right corner frame causes get fixed think happening black goop silicone window clogged weep holes water pools spills house small crack wall right water drip makes way first floor see happening realtime video seconds ending seconds,windows leaks,windows leaks
43,high put ice maker connection box,going connect refrigerator ice maker water water line come basement kitchen cabinet bought connection box install wall fridge data sheet high wall put standard height,plumbing refrigerator ice-maker,plumbing ice refrigerator maker
44,outer brickwork wet stained,hi process home uk walked past potential property noticed exterior wall storey house bathrooms floors house years old anything concerned took photo morning started get cold new house buying process houses general take easy,water,water
45,remove parquet flooring adhesive using heat gun,remove parquet floor possible bitumen adhesive unsure thick adhesive applied remove flooring prep laying ceramic tiling heat gun use remove adhesive costly solvents effective method preparing floor new tile course action recommend,subfloor,subfloor
46,applying thinset concrete floor,planning install ceramic tiles warmup heating element beneath first step insulation boards concrete floor using non-modified thin-set floor covered peel stick tiles installed removed tiles glue residue evident cement floor tacky walk questions remove remaining adhesive floor best type thin-set work removing adhesive,concrete,concrete
47,replace pop-up flip sink drain covers,house replumbed code put new sink basins pop wastes find water drains brand using breaks click replaced broken drain better remove plug bit unscrewing needing removing whole assembly pictured better flip waste drop replacement edit people answer physics things seems circular drain cap viz popup waste cause drainage issues flip waste due symmetry difference,sink drainage bathroom-fixtures,bathroom fixtures sink drainage
48,run line cement sidewalk,good way run pvc side porch use culvert route garden hose long term cement step walk wide step x16 cubic ft lbs house built early sw washington state irregular gap step base porch suggesting attached porch trench underneath walk step thinking rolling ft wide step degrees digging trench laying pvc covering pvc sand rolling step rent cement saw cut cement walk abuts step cracked lay hose pvc lay sand fit piece pt lumber ripped fit suggestion,pvc cement porch underground,underground pvc cement porch
49,prepare new bathtub alcove,expanding bathroom moving bathtub meaning prepare new bathtub alcove know frame plumb preparing tile new know different products use prepare tile concrete backer-board apply direct studs get sealed thinset vs. waterproof membranes applied backerboard know advantages/disadvantages approach better plan use ceramic glass tiles make difference,tile waterproofing,tile waterproofing
50,insulate existing roof space,old victorian esque 2-story uninsulated lath plaster house like add insulation order least curb hot/cold inland empire california walls ceilings lath plaster sheathing wood slats crawl space area floor second floor roof b c diagram portion second floor rooms diagram open access plan put batt insulation roof portion b c batt insulation ceiling portion a. roof beams look standard mdf looks replaced less years see nails poking mdf shingles attached problem comes insulating portion b-a c-a get decent r value portion decent diy price thinking rigid-foam placing first sliding press sliding scraping nails give r-15 better way insulate small place higher r value vertical walls walls wood runners nailed frame remove looking wall cavity house wrap water barriers,insulation renovation,insulation renovation
51,dremel multipurpose bit cut inch polycarbonate,able use dremel multipurpose cutting bit cut patterns inch polycarbonate lexan dremel experts said want hear people opinions according bit snap,tools plastic,tools plastic
52,mold remediation effective long term,home inspector found serious mold problems home considering buying seller willing pay remediation concerned possibility mold return house assuming underlying problems corrected cracks foundation improper bathroom venting possible -- likely next years problem recur concerned problem recurring existing locations concerned grow hidden yet-to-be-discovered/treated locations walls finished ceilings etc,mold air-quality,quality air
53,head sounds running water times,hear running water noise head times demand pump air tank switch seem working wet spots head house evidence leaks house,plumbing,plumbing
54,water heater connected affected short circuit,absolute n00b comes electrical systems please forgive repeat question know search france supply couple hours short circuit tripped electricity short circuit occurred wall point circuit breaker assume tripped switch reset turning switch shown noticed none plug points room short circuit occurred working none functional lights working room water heater room short circuit occurred know wait find heating element water heater non-functional aka hot water tomorrow read problem caused gfi thingy sure water heater hooked gfi thing water heater label shown request appreciate patience answers comments know nothing matters appreciated explain year old read online major appliances water heaters refrigerators need dedicated circuit know rule europe rule microwave dedicated circuit plugged wall water heater dedicated circuit lights working house count major appliance ** edit ** relevant power points working lights something need tested switched,water-heater gfci circuit-breaker,water heater gfci circuit breaker
55,repair textured ceiling texture,process making small improvements house starting rent months bit paint small part ceiling master bedroom fell due coloration yellow paint fell worried water damage feel moisture wrote close full texture way paint falling progressed repair damage unsure proceed room paint fell largest room house rooms house texture prefer remove texture anyone idea reproduce texture seems shift seems seam paint fell know first thing textured ceiling help appreciated edit roofing issue causing leak corrected unsure repair texture ceiling looks different popcorn texture sure go recreating,repair painting ceiling,repair ceiling painting
56,appropriate vent toilets,researching way re-plumb bathrooms trying figure best way specific question relates section code illinois l branch wastes fittings circuit-vented fixtures installed fixture drain enters side branch drain image horizontal wye make connect e.g toilet flange degrees connecting line note vent connected toilets,plumbing drain-waste-vent,plumbing waste drain vent
57,pvc union air tight,pvc ran compressor hose real hanging ceiling works like add pvc union last bend reel union leak air,plumbing pvc compressor,plumbing compressor pvc
58,problems gfci outlets installed,gfci outlets installed home contractor lights work contractor put kitchen floor bathroom basement light kitchen sink work relative done electrical work many years spent hours correcting outlet kitchen light sink works light switch kitchen turns floodlight yard work ceiling lights third floor worked work problems lights working believe problem outlets connected relative spent hours working installed called contractor explained situation states fact lights work nothing appreciate insight advice cause problem,lighting gfci,gfci lighting
59,demo plaster walls keep window casing,house built cracked original plaster lathe poor insulation leaded paint knob tube wiring fix things demo'ing upstairs studs ceilings leaving exterior siding existing roof updating wiring insulation put new drywall first time taken lathe plaster plaster asbestos paint contain lead full abatement respirator taped plastic barriers hepa filters etc sure messy part project replace old windows double-hung single-pane painted shut weights removed cracked glass particular windows painted shut ... want keep existing look windows recommended use window inserts new construction flanged windows done paint existing leaded paint window trim trim put top plaster lathe plaster add irregular seems vary +/- dig plaster trim left varying gap trim framing question done ideas hoping suggest better ones right track tell replace whole thing ... take lathe/plaster trim install drywall edge fill extra varying depth mud caulk moulding leave window trim place dig plaster inch deep way making lip slide drywall place lip fill gaps remove trim reattach new drywall suggestions thanks advice,drywall windows remodeling,windows remodeling drywall
60,secure stops clear acrylic sheet half wall,built half wall sort acrylic sheet basement partition server equipment woodworking area keep electronics sawdust free top half wall piece acrylic sits groove top right studs pine board want use frame edges go securing pine board side acrylic want takes bow acrylic thinking screw wingnut opposite side acrylic finishing wall,walls woodworking framing,walls woodworking framing
61,splitting water heater bill,water heater installed apartments wired apartments breaker boxes splitting bill 220-volt heater retrofit wiring,electrical,electrical
62,welder display flickering,bought hand welder boc smootharc tig stick welding got argon tig go shut unit display flashes times dies normal thing something way,metal welding,metal welding
63,switch furnace heat mode,older good sears furnace cool mode summer fan come find switch heat mode thanks linda,furnace,furnace
64,avoid cold rooms due combustion air intake,newer split level house unfinished basement natural gas furnace lower level utility room laundry bathroom enormous pipe serves combustion air intake furnace goes outdoors screened hole become cold 0°f/-17°c tonight intake seems cooling entire lower level furnace enclosed space open unfinished laundry/bath room door room gap concrete floor stand front furnace location laundry opposite direction cold draft noticeable furnace running need enclose furnace space avoid problem something understand purpose seems counter efficiency,furnace,furnace
65,ikea table problem,got table legs ikea idea assemble legs table screws side,installation table,table installation
66,appropriate tool remove wires push wire,several switches push wire going replace new ones using push wire technique deep set go deep technique missing trying remove wires,electrical,electrical
67,options venting oil boiler,small new yorker ap-u boiler vented large flu house chimney want install wood stove house use chimney vent means furnace able use flue options venting furnace p.s chimney expert coming take look tomorrow looking opinions,hvac heating,heating hvac
68,building inverted climbing wall tree,cottonwood tree vertical climbing wall side thinking putting inverted wall tree large tree branches trunks ground trunks 50-60° angle ground 13-15 diameter guy planning thinks build right trunk concerned trunk support weight support wall sure wondering better build wall tree ok attaching tree anyone great suggestions,structural play-structures treehouse,play structures treehouse structural
69,sand thin-set mortar,unmodified thin-set mortar 25-35 portland balance fine sand wanted make obtain fine sand called graded,grout mortar,grout mortar
70,massive door leak repair,appears floor exterior door leaking subfloor floor ceiling floor pictures attached floor ceiling destroyed starting see water spots second floor planning fix weekend looking go initial thought pull trim interior exterior door fill caulk/expandable foam replace corner square subfloor replace sheetrock floor ceiling wall thoughts thanks,doors leak,leak doors
71,plumbing vent need penetrate roof penetrate wall,going move washer/dryer garage front loader needs sit concrete keep shaking house ground need add washer drain garage need p-trap understanding needs vented go attic roof question need go roof go attic degree second floor wall find particular code rules penetrate roof septic system matters reason trying avoid roof prefer climb roof ... degrees pnw wet mossy,plumbing drain drain-waste-vent,plumbing waste drain vent
72,possible mold found paint,live austin texas important receive much rain humid peeling paint old drywall found appears mold exterior walls room beneath window offset feet side window coincides believe old termite damage patched infestation inactive suspicion old house vapor barrier mold result condensation suppose come leak previous homeowner blew insulation understand vapor barrier cause condensation problems worth tear drywall add vapor barrier side room insulate use bleach clean mold damage cover kilz paint damage old -- decade thinking got paint wall tendency take projects use second opinion,drywall insulation mold vapor-barrier,insulation mold barrier
73,single breaker split wire inaccessible wire working,upstairs bedroom main level light breaker light working bedroom found wire bedroom crawl/attic hot breaker wire confirmed hot light wire attic area working powering light working used bedroom issue cutting non working wire capping leaving case comes tailing side cutting feeds bedroom working wire breaker -- wire basement -- split ways light whole issue started bedroom power turning light working sure breaker switches/outlets bedroom backstabbed changed used nothing outlets going bad able cut power area entryway light worked find main wire basement breaker split fix loose connection thanks ideas,wiring,wiring
74,paint drying time doors windows condensation,redecorating stairs front door landing window get heavy amount condensation build painting noticed area nearest window door frames wet touch areas glossed sanded grit feeling area keyed looked gloss free taking longer dry due cold/wet air window door pointing blow heater aid drying process speed bit let dry cheers mark,painting paint repainting condensation,paint condensation painting repainting
75,remove carbon brush holders hd skil saw,remove carbon brush holders skil saw model hd-77 removed set screws casing retain brush holders motor casing split view holders better unable remove holders best way remove holders damaging anything,tools woodworking framing powertools circular-saw,tools powertools woodworking framing saw circular
76,crumbling exterior plaster,semi-exterior wall spots paint peeling appears dry powdery plaster falling wall roof rained exposed humidity hot freezing outside temperatures virginia brick wall seen evidence lathe side wall painted best way stop repair,exterior plaster,plaster exterior
77,normal light switch setup using hot wire,changing light switches house came setup switches wired using hot wire black electrical wires panel neutral wires white tied left unused expert amateur find setup strange change light switches follow connection setup picture try using standard black-white setup switch left visible three-way switch,electrical lighting switch,lighting switch electrical
78,troubleshoot unclog outdoor drain,concrete patio directs water nearby outdoor drain drain consists seems inch green pvc pipe plastic grate cover sticks ground inches drain pipe goes inches turns drain parallel side house going towards front house exiting towards street sure drain comes seen drain work clogged bought house drain work water patio go fun fun fun need help/advice troubleshoot correct rain season thinking using hose auger see clog if/when find clog sure fix dig entire pipe thinking pouring water drain trying loosen hose/auger checking front house see find exit point ideas feedback assistance appreciated,water exterior drain clog,water drain clog exterior
79,get rid gnats flies house,moved new place noticing lot gnats fruit fly type bugs house killing hour keep coming find kitchen tips tricks products get rid pests pregnant wife house harsh chemicals last result edit ... found source flies ... got home work fine haz-mat team cleaning townhomes share wall guy hoarder hoarding things empty whisky bottles pizza boxes team found human waste walls rotten food house flies living bad neighbor called police shared pluming lines shared air vent gross,pest-control,control pest
80,slow draining clothes washer drain,clothes washer drain backs seconds wait seconds accept seconds pumped water -- backs kitchen clothes washer connect main drain line ~20 ft used electric powered drain snake clean main line ft. kitchen drain drains clothes washer drain improved used drain snake clothes washer drain go piping imagine gets caught p-trap wall clog live older house want use caustic drain cleaner chemicals old drain pipes clear clog next best diy alternative clearing drain pipe p-trap wall concrete floor floor shower drain need cleaning p.s clean-out access port plumbing drain,drain drains,drain drains
81,fix oak cupboards stain dried bled,sanded pre treated wood conditioner oak cupboards applied minwax stain bleeding wiping cloth dried overnight bleeding dry bleeding spots fix applying finish,staining,staining
82,type block use small retaining wall,starting new project build small x patio front house x area level front left corner sloping inches compared half level assuming build small retaining wall build front inches recommendations type material block use,patio,patio
83,furnace/central ac blowers inefficient,buy ceiling fan home depot capable moving cfm air uses mere 50-60 watts contrast furnaces seem blowers operate much lower cfm range use humongous horsepower motors use watts energized make sense horsepower motor larger required furnace central ac ceiling fan get smaller efficient motor move air ceiling fan cfm furnace blower cfm blower requires higher rpm push air ductwork blower cfm delivered value supplied possible replace beasts efficient versions things exist,furnace energy-efficiency electric-motor blower,electric energy blower efficiency motor furnace
84,brick walls constructed,looking buying apartment visiting locations visits saw exterior wall future apartment building expert look good questions walls built guidelines followed building brick walls photos work click larger version,walls brick,walls brick
85,cause washing machine stop rinse cycle drains fine,washing machine problem seen previous answers non correct problem water drains fine spin turn dial works,washing-machine,machine washing
86,cause recessed light come removing neighboring bulb,installed row recessed lights basement sudden light shuts remove bulb turns row daisy chained circuit causing fix,electrical lighting light-fixture recessed-lighting,lighting fixture electrical recessed light
87,solving active sump issues,year old house fishers northeast indy suburb summer days moving last bad summer storms pumps triple safe sump system failed feet carpet entire east wall saturated addition sump overflow saw evidence water entering wall slab decided replace interior drain tile opened discovered footer cracked multiple locations separating low profile piers later job completed restoration place christmas weekend wet town got realized power lost point problem standby generator well standby generator start whoever touched last put lid backwards choking engine air time entire carpet soaked installed new better generator put pumps basement restoration want sure got things figured water entering sump pit seconds time primary pump shuts time starts seconds unplugged pumps see happens flow hits point stasis least slows inches level slab anyone experience flow sump discharges pvc pipe goes storm beehive feet loss feel duped seller duped home inspector left less house bought help advice anyone offer appreciated,basement waterproofing drainage sump-pump flooding,waterproofing basement sump pump drainage flooding
88,toilet moved inch,want move toilet inches shape pipe piece use connect existing plumbing toilet simple solution getting done anything shy re-plumb inch pipe going bowl desirable context toilet project ... toilet question floor bathroom taking things studs pull sub floor expose pipe pipe plastic,plumbing toilet,plumbing toilet
89,install kitchen drawer side front beam,got set ikea cabinets place drawer cover install drawer full cabinet wall right side left open goes deep left top surface seems underside granite countertops think mount anything addition support beam middle front bottom drawer support go question reasonable options installing drawer imagine involve adding least piece wood support sure provide best support weight drawer see options install wood side front beam wall install piece wood front middle left beam install wood front support said done something options addition support proper method install additional pieces wood screws brackets,drawers,drawers
90,call approve minor interior structural changes house,want knock interior wall house make dropped ceiling flush remainder room straightforward home improvement project quite sure handle like certain get structural engineer sign course pay time common people call think call contractor want work want make sure plan board,structural design precautions,precautions design structural
91,make bulkhead stairs steeper code,bottom steps bulkhead stairs go wall basement problem like put door basement bottom stairs make stairs steeper build enclosure bottom stairs preferred solution make stairs steeper put door flush existing wall code live found document online building codes says edition bottom document find updated version please let know looks bulkhead stairs compliant regulations section couple exerpts bulkhead enclosure stairways stairways serving bulkhead enclosures part required building egress providing access grade level basement exempt requirements cmr maximum height basement finished floor level grade adjacent exceed feet mm grade level opening covered bulkhead enclosure hinged doors approved means height stairs little feet exceed feet section tread depth minimum tread depth inches mm tread depth measured vertical planes foremost projection adjacent treads angle tread’s leading edge greatest tread depth flight stairs exceed smallest inch mm winder treads minimum tread depth equal tread depth straight run portion stairs measured point inches mm side treads narrower winder treads minimum tread depth inches mm point flight stairs greatest winder tread depth inch mm walk line exceed smallest inch mm section defining height stair mean exempt rule make stairs steeper,basement code-compliance stairs building-regulations,building code compliance regulations basement stairs
92,day skipper advancing intermatic sprinkler timer,trying troubleshoot sprinkler 14-day skipper wheel silver pins pull days want water push days want water seems wheel tracks days advancing found troubleshooting guide bullet says silver pin goes midnight large yellow dial pin advances 14-day skipper wheel day check silver pin check advances skipper wheel pin worn missing buy new pin tried research find pin looks brass pins plenty use set time see silver pin dial silver pointer points time,sprinkler-system,sprinkler system
93,control electrical devices,turn turn lights tv remote controller internet tools need prepare buy make circuit device work way turn forget lights,lighting home-automation,home lighting automation
