,title,content,complete_tags,words_in_tags
16,using range-only sensors mapping slam,slam trying implement algorithm fuses odometry data mapping based wifi signal strengths robot various readings different resources came http //www.qucosa.de/fileadmin/data/qucosa/documents/8644/dissertation_niko_suenderhauf.pdf explained sensors used mapping categorized range-bearing sensors stereo cameras rgb-d cameras provide distance angle range bearing easy locate x coordinates landmarks -- develop map case using wifi signal strengths received signal strengths etc case meaning establish robot pose x theta signal coming developing map question similar algorithm use constructing map explored area using number ultrasound sensors using imu/gps using gps develop map state space getting gps signals wifi signals/ radio signals estimating transmitter/ap location map walls room navigating map lot slam literature talks motion model measurement model former gives pose robot odometry imu latter development map understanding yes say walls room using lidar scanner gives location wall using number beams give bearing average distance beams b single laser scanner use camera distance heading robot calculate location wall map https //shaneormonde.wordpress.com/2014/01/25/webcam-laser-rangefinder/ more-403 wireless signal strengths distance distance transmitter getting rss distance wall coming estimating location walls term correspondences mean slam literature,localization slam artificial-intelligence mapping wireless,localization intelligence mapping artificial wireless slam
17,scale factor robot model relative real measurements robot,measurements real life robot model robot lets say unity want know scale factor dont want find models measurements real world ones find scale factor order get confused mathematics methodology mentioned,3d-model,model
18,start programming proto x quad,bought small proto x quad joystick navigates device looking way send signal thing computer anyone point turn propellers quad using laptop decent knowledge python/matlab/c hardware new world,quadcopter programming-languages,quadcopter languages programming
19,controlling hubsan x4 crazyflie usb dongle,crazyflie usb dongle works crazyflie software usb dongle control crazyflie drones drones operate ghz get dongle software work hubsan x4 help great link usb dongle software http //www.seeedstudio.com/depot/crazyradio-pa-long-range-24ghz-usb-radio-dongle-with-antenna-p-2104.html https //github.com/bitcraze/crazyflie-clients-python,python,python
20,anyone tell things roomba robot clean please,doubt proper ask question apologizing delete roomba robot worked years working producing strange sounds decided clean disassembled point got stuck sort glass things marked red rectangles picture filthy figure clean anyone know remove dust things roomba creators thanks advance,roomba,roomba
21,choosing motor type high reliability many cycles,designing multi modal stent testing machine bend twist compress stents thin light fragile cylindrical meshes arteries tube machine operate maximum hz months time cycles machine lab people noise minimal choosing actuators design overwhelmed range products available rotating stents axis need rotary actuator following specs torque negligible max angle deg angular velocity needed deg/s hollow shafts compressing stents need linear actuator following specs force low max stroke possible allowing different stent lengths stroke velocity needed price motors driving factor looked stepper motors servo motors piezoelectric motors seems huge selection fits requirements motor types reliability suits needs characteristics/advantages/disadvantages consider determine selection suitable actuators know difference motor types lot concrete suggestions welcome,actuator reliability,actuator reliability
22,work specifications motors propellers quadcopter,specifications motors propellers approx produce thrust quadcopter planning lift total weight kg kg weight throttle total thrust produced kg motor total thrust kg looked answer calculate quadcopter lift capabilities understand use information work specifications motor propeller required application answer given previous question limited small quad require specifications bldc motor kv torque imax v power etc propeller suitable motor,quadcopter,quadcopter
23,space elevator needed cable propulsion,order build operate space elevator moving crafts people space big challenges solved finding cable enough tensile strength moving stuff cable reasonnable speed ones technical challenges solve things exist robotics need invented,mobile-robot research,mobile robot research
24,interpretation unsampled particles particle filters,implemented particle filters years experimenting things particle filters learned resolve robot kidnapping problem introducing new particles left particles unsampled population interpretation unsampled particles context effect localization output,localization algorithm particle-filter,filter particle algorithm localization
25,pid control poles represent,read text control e.g pid control mentions mean physical state pole describe,control pid,control pid
26,color sensor alternatives,making white line follower using ir sensor module based taking adc reading arduino uno printing values serial monitor observe values white 25-35 ok. problem arises try detecting surface sensor gives values white 25-40. use color sensor bulky sure get readings faster take finite time sampling pulses someone please tell alternate approach detecting colours possible solution problem edit like add line wish follow width hence plan use sensors outside line sides centre sampling frequency arduino uno sampling ir issue quick using color sensor takes lot time,sensors line-following,following sensors line
27,servo controlled valve,trying build servo-controlled water valve max pressure psi valve size anyone recommend suitable 1/4-turn valve ceramic ball valve anything else easy turn even pressure require little torque turn standard servo rotate small lever attached,servos valve,valve servos
28,problem uploading roboduino atmega328,bought new roboduino atmega board roboduino modded version arduino uno made robokits.co.in problem windows plaform tried upload simple blink program listed examples arduino ide got error avrdude stk500_getsync sync resp=0x00 chose correct com port verifying device manager installed prolific drivers board selected board arduino arduino ide complete verbose upload follow \softwares\installed files\arduino-1.0.4\hardware/tools/avr/bin/avrdude -cd \softwares\installed files\arduino-1.0.4\hardware/tools/avr/etc/avrdude.conf -v -v -v -v -patmega328p -carduino -p\\.\com10 -b115200 -d -uflash w c \users\ankits~1\appdata\local\temp\build5865304215250534760.tmp\blink.cpp.hex avrdude version compiled sep copyright c 2000-2005 brian dean http //www.bdmicro.com/ copyright c 2007-2009 joerg wunsch system wide configuration file \softwares\installed files\arduino-1.0.4\hardware/tools/avr/etc/avrdude.conf using port \\.\com10 using programmer arduino overriding baud rate avrdude send avrdude send avrdude send avrdude recv avrdude stk500_getsync sync resp=0x00 avrdude done thank plug board power led pin led blinks ide shows uploading pin led blinks 3-4 times error appears screen blinks 5-6 times tried example programs follows using bit windows ultimate baud rate set ubuntu downloaded ide software center added dialouts group run connecting board pc ran commands lsusb returned following output bus device id prolific technology inc. pl2303 serial port bus device id linux foundation root hub bus device id linux foundation root hub bus device id linux foundation root hub bus device id linux foundation root hub bus device id linux foundation root hub dmesg tried upload program blink gave following error avrdude stk500_recv programmer responding using bit ubuntu selected arduino uno board thank reading please provide suggestions problem,arduino,arduino
29,rocker bogie suspension system pitch angle,sentence mean chassis maintains average pitch angle rockers put words pitching angle chassis average pitch angles rocker arms pitching angle context please explain pitching angles,mobile-robot wheeled-robot,mobile robot wheeled
30,learn language robotics,ask assembly language close micro-controller hardware micro-controller reccomend bot search object show object note know anything micro-controllers,microcontroller software programming-languages,languages microcontroller programming software
31,maximum ball screw speeds,maximum rotational velocity miniature ball-screw diameters thrust cycles type/brand speed limited ball return mechanism fastest find rpm n thrust datasheet big safety margin millions cycles looking experience data general method/formula used find maximum velocity load function cycles way similar ball bearings suggestions knowledge faster types brands ballscrews ones able find welcome information ball screws interesting transmissions actuated legged robotics provide high-geared rotary-to-linear transmission accurate precise energy efficient backlash-free big downside limited rotational speed maximum rotational velocity limited resonance ball return mechanism former limit easy calculate eigenfrequency calculation problematic small spindles bigger problem balls screw roll threaded recirculated end nut recirculation limits rotational velocity ballscrews corresponding maximum rotational velocities calculate-able know provided manufacturers catalogues rpm so-called d_n -value rotational velocity rpm n=d_n/d diameter ball screw maximum rotational velocity ball screws capped rpm lower according datasheets depending brand ball return mechanism highest permissible rotational velocities found ballscrews rpm using end-cap-return mechanism note electrical motors ideal maximum power velocities higher rpm high many brushless motors appears ball screws run higher speeds specified reality specifications hold many millions cycles find single unofficial source someone claims run ball-screws rpm missiles rpm interested theory experimental data backs,driver,driver
32,roboclaw seem ignoring pid gain settings,seeing behavior roboclaw explain trying tune velocity pid settings windows box use ionmc tuning tool using command set velocity pid gains command verify set spin wheel half maximum speed problem combination pid gains seems make difference set motor spins set point something wrong pouring datasheet see rights motor spin use ideas,control pid,control pid
33,ros kinect depth data duplication,trying get depth data kinect ros project looks arrive done depth_sub rospy.subscriber /camera/depth/image image depth_cb ... def depth_cb data img bridge.imgmsg_to_cv2 data img np.array img dtype=np.float32 img cv2.normalize img img cv2.norm_minmax cv2.imshow depth img cv2.waitkey launch openni.launch openni_launch package publishes depth data get weird warning node seen image complexwarning casting complex values real discards imaginary part understand data type 32-bit floats values appear like depth image corresponds rgb image array size tracking rgb space using tracked coordinates x index depth array thanks edit turns /camera/depth/image published array uint8s actual data floats listed hunt people code uint8s interpreted floats quartered number data points explain image times smaller hence accessing datapoints bounds nan,ros kinect,kinect ros
34,possible use hc-sr04 ultrasonic range sensor indicate thickness material,hc-sr04 connected arduino board end echo connected analog pin transmitter trigger connected digital pin wondering use sensor sense change saturation object block path receiver transmitter positioned line middle supposed paper using see difference paper paper travel sure possible way see working kind similar ir led arduino program connected led paper passes light gets little bit weaker takes heavier hit possible,arduino sensors,sensors arduino
35,logic implementing auto-level function pid flight controller,multi-rotor basic pid controller keeps axis stable gyroscope multi rotor keep height position like use accelerometer keeping rough position auto level want use gyro accelerometer accelerometer values used implemented pid ways gyro values degrees second rate used calculate pid adjusting esc confused part basic logic using accelerometer values,quadcopter pid imu accelerometer,quadcopter imu pid accelerometer
36,language code beaglebone,trying build hexapod beaglebone linux environment im thinking using ubuntu best language use coding purpose make robot controls camera wifi integration etc,control programming-languages beagle-bone linux,control beagle programming languages linux bone
37,jacobian transpose calculate orientation error,confused compute error orientation documents read explain error position difference points let assume orientation effector axis represent rotation quaternions questions describing orientation quaternions good approach compute error orientation quaternions use jacobian transpose,inverse-kinematics jacobian,inverse kinematics jacobian
38,micro quadcopter pid problem,designed mini quadcopter main body main body pcb enter image description weighs ~20 grams battery using mpu6050 dmp using i2cdevlib using raw radians pitch roll yaw measures read mpu6050 dmp motors attached body using electrical tape black thing motors motors diameter driven n-channel mosfet mode control right hc-05 module code used control loop axes pitch roll values quadcopter symmetrical problem pid tuning next impossible best got ~2 second flight video slow-motion first using code control loop effective arduino pid library output pid loops mapped -90 axes seen code mypid.setoutputlimits -90 //y angle mypid1.setoutputlimits -90 // x angle mypid2.setoutputlimits -90 // yaw angle mypid.setmode automatic mypid1.setmode automatic mypid2.setmode automatic full code think problem code http //pastebin.com/cng6vxr8,arduino quadcopter pid,quadcopter pid arduino
39,fixed point arithmetic microcontrollers,use microcontrollers things robots need make calculations decimal using floating point variables slow software floating point library included high-end microcontroller use fixed point arithmetic whenever use integer remember decimal place take care ensure everything consistent calculations involve variables decimal point different place implemented fixed point atan2 function trying squeeze last drop limited precision bits change definition decimal point change tweaked addition constants quasi look-up table implied decimal point want know better way library set macros simplify use fixed point variables making multiplication division mixed variables easier allowing declaration decimal numbers constant expressions converting desired fixed point representation compile time,microcontroller c,c microcontroller
40,relationship point cloud maps graph maps,familiar slam maps point clouds form vector x \theta f_ f_ ... f_ nx f_ ny understand create map using ekf today came .graph file format expect consists vertices edges format vertex2 id x orientation edge2 observed_vertex_id observing_vertex_id sideward rotate inf_ff inf_fs inf_ss inf_rr inf_fr inf_sr know connection matrices graphs adjacency matrix example clear graph format map equivalent point cloud map familiar relationship vertices poses landmarks global reference frame created say velocity information range/bearing sensor transformation graph map point cloud,slam mapping,slam mapping
41,triangulation measuring angles beacons find location work large outdoor area,determine outdoor location think measure angles least beacons take account order sweep beacons workable solution get positional accuracy house block sized area rewrite question note distance measurement suggested angle measurements proposing possible minimum local rf beacons robot device sweeps antenna circle identifying angles beacons use information order beacons seen find absolute location tried prove seems beacons unique solutions knowing order solution order known believe need try find distance beacons question implemented reasonable cost nrf24l01 based transcievers sort rotating antenna,localization,localization
42,understanding correct drift using breezyslam aka tinyslam coreslam,looking python implementation slam stumbled breezyslam implements tinyslam aka coreslam robot equipped hokuyo urg-04lx-ug01 odometry hence passing updater self.slam.update ls_array dxy_mm dtheta_deg dt start moving robot starts discovering room room b c seems rotated come room return initial pose end=start using path noticed room rotated relation room map correct path travelled robot slam supposed keep boundaries first room discovered rotation happening try troubleshoot issue data collected odometry calculated position lidar scans tune better job robot slam new please bear pointers literature clarify moderate expectations slam extra ... best video found understand particle filter,localization slam mapping,slam mapping localization
43,sensor type measures position,building joystick need measure displacement central device mechanical connection edges discussion best way achieve range motion small accuracy important sensors measured impulse response rotational linear potentiometers reliable others arguing using gyros/accelerometers heard hall effect sensors used great effect,control sensors accelerometer,control sensors accelerometer
44,c++ robust model fitting library,perform model fitting find looking decent c++ library ransac implementation mrpt wondering alternatives available give example type problems like solve set point pairs b like find isometry transform maps points tb \epsilon like get largest subset given \epsilon guess subset size fixed ask lowest \epsilon,c++ ransac,ransac c
45,help ultrasonic sensors obstacles avoiding robot,problem working project days left idea simple wheeled robot ultrasonic sensors avoid obstacles developed code working fine using arduino uno l293d driver dc motors hc-sr04 ultrasonic sensors newping library made kind shield soldered common points gnd order connect l293 ic sensors pins problem ultrasonic sensors functioned expected behavior sending result number showed disconnect sensor power problem using usb cable power arduino sensors motors powered using li-po batteries provide guidance,arduino power ultrasonic-sensors,sensors ultrasonic power arduino
46,programable drone robotic arm hand,wondering possible buy build programmable drone robotic arm hand knife want program drone harvest crops -object recognition live video stream -identify grab objects arm make cut necessary -transport produce collection site know take much knowlege many fields forsight limitations energy power estimates cost hardware,robotic-arm design quadcopter dynamic-programming,quadcopter programming dynamic design robotic arm
47,best practice ros service serial-communication class many options,asked write code implement serial communications camera order control pedestal movable base set dozen camera options catch make usable ros best practice implement functionality ros understand concept services think better way creating different service/file option thanks daniel,ros cameras serial,serial ros cameras
48,convert rotation matrix equivalent quaternion using eigen library,eigen library http //goo.gl/cv5ly used ros pcl thank,ros,ros
49,rotate covariance,working ekf question regarding coordinate frame conversion covariance matrices let say get measurement x z roll pitch yaw corresponding covariance matrix c measurement c given coordinate frame g_1 need transform measurement coordinate frame g_2 transforming measurement trivial need transform covariance correct translation g_1 g_2 irrelevant need rotate correct covariances x z thought apply rotation matrix works submatrix full covariance matrix need apply rotation blocks,kalman-filter,filter kalman
50,create portable solar panel lipo charger,working quadcopter carry solar panel top charging lipo battery quad smallest easiest way recreate charger allow safe charging lipo battery,quadcopter battery,quadcopter battery
51,choice motor robotic arm,post hello hope learn lot guys trying build robotic arm carry object put different boxes placed different fixed locations found robotic arms trying find right motor job read on-line different motors sure pick boxes located fixed places motors move precise way according research servo motors ones low budget project college student sure motor choose lot servo motors found several servo motors on-line example analog feedback servo wondering best servo motor buy low cost project think spend 10-20 motor need motors rpi know pwm pin controls motor precision movement purchase pwm controller additional motors need run testing precise motor way calculate amount weight motor handle ideas information appreciated thank,robotic-arm raspberry-pi servomotor python,raspberry python servomotor robotic pi arm
52,sporadic sensing rates hc-sr04 ultrasonic distance sensor,working robot uses ultrasonic sensors integral part navigation testing sensors noticed strange behaviour sensors seem stop functioning bring entire arduino mega working stop strange part stops seem random occasions sensor read values vals second seconds sudden sensor slow reading 2-3 values second stalls tested several sensors different codes pinging distances problem persisted leads believe issue arduino mega unsure verify advice thanks advance ps pins mega seem working fine i.e analog pins ir reflectance sensors pwm pins driving dc motors,arduino ultrasonic-sensors,sensors ultrasonic arduino
53,stereo camera baseline needed calibration,stereo camera calibration described blog post wonder need input camera baseline calibration fact goes basic mathematics triangulation someone explain,computer-vision calibration stereo-vision,stereo computer vision calibration
54,using genetic algorithm tuning controllers,read papers controlling nonlinear systems e.g nonlinear several approaches targeting nonlinear systems common ones linearizaing backstepping sliding mode controllers case done theoretical practical parts controlling nonlinear model simple pendulum manipulators problems c++ utilized backstepping controller solving tracking task angular displacement velocity results \ddot \theta k/m \dot \theta g/l \sin\theta= u m=0.5 k=0.0001 l=.2 g=9.81 results good tuning controller time consuming majority papers use genetic algorithms tuning controllers pd pid backstepping controllers clueless field hope someone sheds light concept preferable matlab sample least controlling simple pendulum designed simple gui c++/qt order tune controller picture response controller step function,control,control
55,realistic grasping simulator,looking physics simulator model robot hand picking object main requirement accuracy realism speed needs able model soft bodies rubber skin robotic finger tips needs dynamics engine object moved hand modelling effects slippage research done good candidates graspit http //graspit-simulator.github.io/ open-source designed grasping physics simulation general second mujoco http //www.mujoco.org/ general simulator commercial product adopted big names deepmind tried using bullet physics engine robot grasping simulation realised going strong bullet designed games sacrifices realism speed interested something realistic possible computation slow anyone suggestions proceed anybody experience graspit mujoco thanks,robotic-arm simulator simulation,simulation simulator arm robotic
56,get data kinect,try using openni_launch works try viewing image using kinect rgb depth camera recording simple bagfile data kinect unable see picture rosbag record data seconds running image_view rosbag record got error terminate called throwing instance :openniexception' virtual void :opennidevice :startimagestream /tmp/buildd/ros-groovy-openni-camera-1.8.8-0precise-20130418-2203/src/openni_device.cpp starting image stream failed reason xiron os got event camera_nodelet_manager-2 process died pid exit code -6 cmd /opt/ros/groovy/lib/nodelet/nodelet manager __name =camera_nodelet_manager __log =/home/rosbotics/.ros/log/16b63744-e043-11e2-ac16-080027486aa8/camera_nodelet_manager-2.log log file /home/rosbotics/.ros/log/16b63744-e043-11e2-ac16-080027486aa8/camera_nodelet_manager-2*.log searching trying various fixes figured problem openni started using freenect encountered problems record data using bagfiles see images kinect using rviz image_view someone asked something unrelated freenect-glview gave black screen lsusb shows parts kinect connected able control kinect motor ubuntu know least connection established additional info run ros ubuntu using virtualbox v.4.2.14 windows usb ports using ubuntu ros-groovy date exact errors mac osx lion try using rviz kinect virtualbox crashes appreciate anyone help matter,ros kinect,kinect ros
57,highspeed gearbox low speed brushless motor,attempting control small vehicle slow .5 m/s m/s speeds extreme accuracy drive system considering using brushless motors greater power volume ratio able find brushed motors small size using wheels diameter rpm looking rpm max suggest driving motors low speed driving high speed gearing understand setups give high torques brushless motors decrease torque speed brushed motors obvious gearbox necessary torque system choice clear asking tl dr use brushless motors high speed gearbox low speed ungeared high torque low speed high precision application,motor brushless-motor,brushless motor
58,maximum distance using ultrasonic sensor arduino,maximum distance say car measure using ultrasonic sensor compatible arduino sensor ultrasonic measure distance car say upto meters used arduino,arduino ultrasonic-sensors,sensors ultrasonic arduino
59,pom gears metal fittings,looking setup pom bevel gears fitted kind metal bronze tube fits shaft benefits provide shaft free-spin metal fitting able grip shaft supposed canonical approach fitting pom gear high-load applications,motor mechanism gearing,gearing mechanism motor
60,cool robotics projects,robotics student new field suggest websites provide projects/helpful info learn thanks,mobile-robot,mobile robot
